fecha	tfondeo
20040102	6.1
20040105	5.8
20040106	5.65
20040107	5.32
20040108	4.9
20040109	5.15
20040112	5.05
20040113	4.85
20040114	4.8
20040115	4.8
20040116	4.8
20040119	4.7
20040120	4.72
20040121	4.76
20040122	4.9
20040123	5.2
20040126	4.85
20040127	4.8
20040128	4.8
20040129	5
20040130	5.2
20040202	4.9
20040203	5.05
20040204	5.18
20040206	5.35
20040209	5.15
20040210	5.5
20040211	5.5
20040212	5.47
20040213	5.35
20040216	5.35
20040217	5.45
20040218	5.4
20040219	5.4
20040220	6
20040223	6
20040224	6.25
20040225	6.75
20040226	6.7
20040227	6.7
20040301	6.63
20040302	6.6
20040303	6.35
20040304	6.6
20040305	6.34
20040308	6.1
20040309	6.2
20040310	6.15
20040311	6.35
20040312	6.6
20040315	6.55
20040316	6.65
20040317	6.67
20040318	6.6
20040319	6.4
20040322	6.55
20040323	6.4
20040324	6.35
20040325	6.25
20040326	6.05
20040329	6.1
20040330	6.25
20040331	6.12
20040401	6.05
20040402	6.1
20040405	6.12
20040406	6.08
20040407	5.89
20040412	5.85
20040413	5.85
20040414	6
20040415	5.98
20040416	6.1
20040419	5.97
20040420	5.92
20040421	6
20040422	6
20040423	5.65
20040426	5.47
20040427	5.55
20040428	6
20040429	6.1
20040430	6.25
20040503	6.2
20040504	6.25
20040505	6.1
20040506	6.1
20040507	6.3
20040510	6.5
20040511	6.5
20040512	6.5
20040513	6.5
20040514	6.5
20040517	6.55
20040518	6.5
20040519	6.5
20040520	6.5
20040521	6.5
20040524	6.5
20040525	6.3
20040526	6.35
20040527	6.35
20040528	6.36
20040531	6.35
20040601	6.35
20040602	6.35
20040603	6.35
20040604	6.35
20040607	6.35
20040608	6.35
20040609	6.32
20040610	6.35
20040611	6.36
20040614	6.35
20040615	6.35
20040616	6.33
20040617	6.35
20040618	6.35
20040621	6.35
20040622	6.35
20040623	6.35
20040624	6.35
20040625	6.3
20040628	6.37
20040629	6.34
20040630	6.48
20040701	6.65
20040702	6.6
20040705	6.6
20040706	6.6
20040707	6.6
20040708	6.6
20040709	6.65
20040712	6.65
20040713	6.65
20040714	6.65
20040715	6.6
20040716	6.65
20040719	6.65
20040720	6.65
20040721	6.65
20040722	6.7
20040723	6.85
20040726	6.8
20040727	6.75
20040728	6.8
20040729	6.82
20040730	6.78
20040802	6.95
20040803	6.6
20040804	6.82
20040805	6.85
20040806	6.95
20040809	6.85
20040810	6.8
20040811	7
20040812	7
20040813	7
20040816	7
20040817	7
20040818	6.9
20040819	7
20040820	7.03
20040823	7
20040824	7
20040825	7.05
20040826	7.1
20040827	7.15
20040830	7.15
20040831	7.15
20040901	7.16
20040902	7.13
20040903	7.15
20040906	7.15
20040907	7.13
20040908	7.15
20040909	7.15
20040910	7.16
20040913	7.15
20040914	7.15
20040915	7.15
20040917	7.15
20040920	7.15
20040921	7.17
20040922	7.4
20040923	7.4
20040924	7.6
20040927	7.58
20040928	7.61
20040929	7.6
20040930	7.6
20041001	7.6
20041004	7.6
20041005	7.6
20041006	7.62
20041007	7.6
20041008	7.6
20041011	7.6
20041012	7.65
20041013	7.62
20041014	7.6
20041015	7.7
20041018	7.64
20041019	7.63
20041020	7.6
20041021	7.65
20041022	7.75
20041025	7.8
20041026	7.75
20041027	7.85
20041028	7.5
20041029	7.8
20041101	7.98
20041102	7.8
20041103	7.8
20041104	7.85
20041105	7.87
20041108	8
20041109	7.8
20041110	7.7
20041111	8.25
20041112	8.08
20041115	8.05
20041116	8
20041117	8.05
20041118	8.08
20041119	8.05
20041122	8.06
20041123	8.05
20041124	8
20041125	8.06
20041126	8.35
20041129	8.26
20041130	8.25
20041201	8.3
20041202	8.28
20041203	8.25
20041206	8.28
20041207	8.27
20041208	8.28
20041209	8.27
20041210	8.41
20041213	8.43
20041214	8.45
20041215	8.86
20041216	8.77
20041217	8.76
20041220	8.75
20041221	8.75
20041222	8.75
20041223	8.65
20041224	8.75
20041227	8.72
20041228	8.79
20041229	8.76
20041230	8.75
20041231	8.75
20050103	8.75
20050104	8.8
20050105	8.75
20050106	8.65
20050107	8.7
20050110	8.75
20050111	8.75
20050112	8.74
20050113	8.65
20050114	9.2
20050117	8.78
20050118	8.73
20050119	8.7
20050120	8.79
20050121	8.75
20050124	8.72
20050125	8.75
20050126	8.73
20050127	8.71
20050128	8.7
20050131	9.05
20050201	8.88
20050202	8.9
20050203	9.02
20050204	9.15
20050207	9.05
20050208	9.2
20050209	8.8
20050210	9.15
20050211	9.1
20050214	9.15
20050215	9.13
20050216	9.15
20050217	9.2
20050218	9.15
20050221	9.15
20050222	9.14
20050223	9.15
20050224	9.25
20050225	9.4
20050228	9.2
20050301	9.19
20050302	9.2
20050303	9.19
20050304	9.2
20050307	9.19
20050308	9.1
20050309	9.18
20050310	9.21
20050311	9.2
20050314	9.2
20050315	9.2
20050316	9.19
20050317	9.2
20050318	9.2
20050322	9.18
20050323	9.5
20050328	9.5
20050329	9.48
20050330	9.51
20050331	9.69
20050401	9.4
