date	precio
20180629	19.7293
20180628	19.8633
20180627	20.0553
20180626	19.8754
20180625	20.0908
20180624	20.1264
20180623	20.1264
20180622	20.1264
20180621	20.3689
20180620	20.3937
20180619	20.5531
20180618	20.6968
20180617	20.716
20180616	20.716
20180615	20.716
20180614	20.6953
20180613	20.6259
20180612	20.596
20180611	20.4722
20180610	20.5281
20180609	20.5281
20180608	20.5281
20180607	20.46
20180606	20.3129
20180605	20.3863
20180604	19.9934
20180603	19.8662
20180602	19.8662
20180601	19.8662
20180531	19.9759
20180530	19.7322
20180529	19.7499
20180528	19.5915
20180527	19.5608
20180526	19.5608
20180525	19.5608
20180524	19.7048
20180523	19.7661
20180522	19.7528
20180521	19.9054
20180520	19.9319
20180519	19.9319
20180518	19.9319
20180517	19.7033
20180516	19.7094
20180515	19.7854
20180514	19.5214
20180513	19.3539
20180512	19.3539
20180511	19.3539
20180510	19.2989
20180509	19.5387
20180508	19.5781
20180507	19.4232
20180506	19.2017
20180505	19.2017
20180504	19.2017
20180503	19.1223
20180502	19.0943
20180501	18.7878
20180430	18.7878
20180429	18.6847
20180428	18.6847
20180427	18.6847
20180426	18.8644
20180425	19.053
20180424	18.8139
20180423	18.8628
20180422	18.621
20180421	18.621
20180420	18.621
20180419	18.2819
20180418	18.0333
20180417	17.9787
20180416	18.0394
20180415	18.087
20180414	18.087
20180413	18.087
20180412	18.1353
20180411	18.2018
20180410	18.2882
20180409	18.2753
20180408	18.2888
20180407	18.2888
20180406	18.2888
20180405	18.1081
20180404	18.2244
20180403	18.2044
20180402	18.2967
20180401	18.2709
20180331	18.2709
20180330	18.2709
20180329	18.2709
20180328	18.2709
20180327	18.3445
20180326	18.3268
20180325	18.5364
20180324	18.5364
20180323	18.5364
20180322	18.5078
20180321	18.6001
20180320	18.7614
20180319	18.7216
20180318	18.7216
20180317	18.7216
20180316	18.7216
20180315	18.7023
20180314	18.5854
20180313	18.5604
20180312	18.6199
20180311	18.5812
20180310	18.5812
20180309	18.5812
20180308	18.7148
20180307	18.7922
20180306	18.7246
20180305	18.8838
20180304	18.8909
20180303	18.8909
20180302	18.8909
20180301	18.861
20180228	18.8331
20180227	18.7902
20180226	18.6456
20180225	18.5659
20180224	18.5659
20180223	18.5659
20180222	18.6574
20180221	18.6518
20180220	18.6594
20180219	18.536
20180218	18.4797
20180217	18.4797
20180216	18.4797
20180215	18.5159
20180214	18.6025
20180213	18.6269
20180212	18.6703
20180211	18.8623
20180210	18.8623
20180209	18.8623
20180208	18.8815
20180207	18.6492
20180206	18.7009
20180205	18.5248
20180204	18.5248
20180203	18.5248
20180202	18.5248
20180201	18.4004
20180131	18.6069
20180130	18.6982
20180129	18.6196
20180128	18.4672
20180127	18.4672
20180126	18.4672
20180125	18.478
20180124	18.5178
20180123	18.798
20180122	18.7118
20180121	18.5813
20180120	18.5813
20180119	18.5813
20180118	18.6361
20180117	18.655
20180116	18.8362
20180115	18.8113
20180114	19.0446
20180113	19.0446
20180112	19.0446
20180111	19.3433
20180110	19.2405
20180109	19.3065
20180108	19.2323
20180107	19.2737
20180106	19.2737
20180105	19.2737
20180104	19.2427
20180103	19.3717
20180102	19.4899
20180101	19.6629
20171231	19.6629
20171230	19.6629
20171229	19.6629
20171228	19.7354
20171227	19.7867
20171226	19.7223
20171225	19.5848
20171224	19.5848
20171223	19.5848
20171222	19.5848
20171221	19.3962
20171220	19.2291
20171219	19.1913
20171218	19.0289
20171217	19.1289
20171216	19.1289
20171215	19.1289
20171214	19.1202
20171213	19.1391
20171212	18.974
20171211	18.974
20171210	18.9445
20171209	18.9445
20171208	18.9445
20171207	18.9315
20171206	18.8897
20171205	18.6958
20171204	18.642
20171203	18.6399
20171202	18.6399
20171201	18.6399
20171130	18.6229
20171129	18.519
20171128	18.5848
20171127	18.52
20171126	18.5379
20171125	18.5379
20171124	18.5379
20171123	18.6041
20171122	18.74
20171121	18.8242
20171120	18.9724
20171119	18.9724
20171118	18.9724
20171117	18.9724
20171116	19.1224
20171115	19.2268
20171114	19.1334
20171113	19.168
20171112	19.0526
20171111	19.0526
20171110	19.0526
20171109	19.09
20171108	19.0718
20171107	19.1349
20171106	19.0814
20171105	19.185
20171104	19.185
20171103	19.185
20171102	19.1241
20171101	19.1241
20171031	19.1478
20171030	19.2188
20171029	19.1474
20171028	19.1474
20171027	19.1474
20171026	19.096
20171025	19.077
20171024	19.2009
20171023	19.0489
20171022	19.008
20171021	19.008
20171020	19.008
20171019	18.8248
20171018	18.8869
20171017	19.0117
20171016	19.0753
20171015	18.9008
20171014	18.9008
20171013	18.9008
20171012	18.7631
20171011	18.718
20171010	18.6327
20171009	18.6646
20171008	18.5522
20171007	18.5522
20171006	18.5522
20171005	18.306
20171004	18.2282
20171003	18.2113
20171002	18.2337
20171001	18.159
20170930	18.159
20170929	18.159
20170928	18.1979
20170927	18.13
20170926	17.9933
20170925	17.8831
20170924	17.7487
20170923	17.7487
20170922	17.7487
20170921	17.8545
20170920	17.7009
20170919	17.7643
20170918	17.761
20170917	17.6857
20170916	17.6857
20170915	17.6857
20170914	17.7278
20170913	17.7836
20170912	17.781
20170911	17.6443
20170910	17.7331
20170909	17.7331
20170908	17.7331
20170907	17.6965
20170906	17.8136
20170905	17.836
20170904	12.3332
20170903	12.3379
20170902	12.372
20170901	12.417
20170831	12.4345
20170830	12.4505
20170829	12.4505
20170828	12.4505
20170827	12.3963
20170826	12.3703
20170825	12.3869
20170824	12.4617
